model,environment,agent,subtype,level,verbosity,task_type,prompt_tokens,completion_tokens,total_tokens,average_score,overall_success_rate,pass@1,pass@2,pass@3,pass@4,pass_at_5,pass^1,pass^2,pass^3,pass^4,pass^5,total_tasks,tool_verbosity,total_tool_calls,successful_tool_calls,failed_tool_calls,surrendered_trials,total_tool_execution_duration,total_benchmark_duration,qa_score,qa_score_z
Claude-4.5,afm,react,,level_2,brief,subtasks,190940,13769,204709,0.3999999999999999,0.4,0.3999999999999999,0.5028571428571428,0.5577142857142857,0.5933714285714285,0.6191542857142857,0.4,0.2971428571428571,0.2491428571428571,0.2203428571428571,0.2008685714285714,7,brief,229,229,0,,1295.977916700016,3504.326295,0.88,0.04775748569093718
Claude-4.5,afm,react,,level_2,comprehensive,tasks,68632,3986,72618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,comprehensive,58,58,0,,309.6899080000039,851.440485,0.88,0.04775748569093718
Claude-4.5,afm,react,,level_2,comprehensive,subtasks,267423,12399,279822,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4285714285714285,7,comprehensive,187,182,5,,1590.3832023999712,3747.400508,0.88,0.04775748569093718
Claude-4.5,afm,react,,level_3,workflow,tasks,109513,2190,111703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,workflow,100,94,6,,2248.341182100048,3244.995929,0.88,0.04775748569093718
Claude-4.5,afm,react,,level_3,workflow,subtasks,282851,13299,296150,0.3,0.3,0.3,0.35,0.366,0.3716,0.37368,0.3,0.25,0.216,0.1924,0.17568,8,workflow,267,263,4,,469.474247899976,3132.429758,0.88,0.04775748569093718
Claude-4.5,afm,react,,level_3,brief,tasks,82432,1414,83846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,brief,100,100,0,,2240.1843445999693,3035.555914,0.88,0.04775748569093718
Claude-4.5,afm,react,,level_3,brief,subtasks,285079,13434,298513,0.225,0.225,0.2249999999999999,0.2749999999999999,0.303,0.3206,0.33276,0.225,0.175,0.153,0.1414,0.13476,8,brief,331,329,2,,413.1649924000594,3371.912312,0.88,0.04775748569093718
Claude-4.5,afm,react,,level_3,comprehensive,tasks,120660,1319,121979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,comprehensive,98,96,2,,245.9226230999775,1197.614835,0.88,0.04775748569093718
Claude-4.5,afm,react,,level_3,comprehensive,subtasks,292667,17721,310388,0.35,0.35,0.35,0.37,0.374,0.3748,0.37496,0.35,0.33,0.314,0.3012,0.29096,8,comprehensive,214,203,11,,772.5545532001197,3343.907851,0.88,0.04775748569093718
Claude-4.5,afm,tool_calling,,level_1,workflow,tasks,57721,3442,61163,0.8,0.8,0.8,0.96,0.992,0.9984,0.99968,0.8,0.6400000000000001,0.5120000000000001,0.4096000000000001,0.3276800000000001,1,workflow,47,47,0,,163.47967450000215,581.643799,0.88,0.04775748569093718
Claude-4.5,afm,tool_calling,,level_1,brief,tasks,62790,2638,65428,0.6,0.6,0.6,0.84,0.936,0.9744,0.98976,0.6,0.36,0.2159999999999999,0.1296,0.0777599999999999,1,brief,65,60,5,,177.32186960001127,713.066641,0.88,0.04775748569093718
Claude-4.5,afm,tool_calling,,level_1,comprehensive,tasks,62236,3754,65990,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,comprehensive,39,39,0,,171.73563480000303,556.91469,0.88,0.04775748569093718
Claude-4.5,afm,tool_calling,,level_2,workflow,tasks,61686,3656,65342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,workflow,56,55,1,,345.3881377000216,806.465181,0.88,0.04775748569093718
Claude-4.5,afm,tool_calling,,level_2,brief,tasks,57618,3831,61449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,brief,63,58,5,,521.7521487999948,1046.52911,0.88,0.04775748569093718
Claude-4.5,afm,tool_calling,,level_2,comprehensive,tasks,64840,3731,68571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,comprehensive,45,45,0,,598.43090449999,990.51122,0.88,0.04775748569093718
Claude-4.5,afm,tool_calling,,level_3,workflow,tasks,34398,1509,35907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,workflow,28,28,0,,7.026941500007524,255.061677,0.88,0.04775748569093718
Claude-4.5,afm,tool_calling,,level_3,brief,tasks,75163,1268,76431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,brief,70,68,2,,930.075961700004,1508.652759,0.88,0.04775748569093718
Claude-4.5,afm,tool_calling,,level_3,comprehensive,tasks,40173,1423,41596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,comprehensive,23,23,0,,0.1046724999978323,248.831874,0.88,0.04775748569093718
Claude-4.5,ml,react,,level_1,workflow,tasks,428254,6401,434655,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9866666666666668,0.9973333333333332,0.9994666666666666,0.9998933333333332,0.9333333333333332,0.88,0.8373333333333334,0.8032,0.7758933333333333,3,workflow,142,141,1,,5387.242184430361,6840.103143,0.74,-1.1641586055547457
