,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
a[77],0.546,0.168,0.32,0.83,2810,2379,1.00,0.003,0.0027
a[78],1.31,0.38,0.76,2,3755,2311,1.00,0.0061,0.005
a[79],0.863,0.29,0.47,1.4,3384,2914,1.00,0.0048,0.0042
a[80],1.2,0.52,0.6,2.1,2296,2199,1.00,0.0099,0.014
a[81],1.03,0.34,0.57,1.6,3373,2738,1.00,0.0056,0.0056
a[82],0.829,0.254,0.46,1.3,3321,2582,1.00,0.0042,0.0033
a[83],1.38,0.54,0.71,2.3,3545,2788,1.00,0.0091,0.011
a[84],0.84,0.28,0.47,1.4,2463,2562,1.00,0.0055,0.0054
a[85],0.589,0.18,0.34,0.9,3194,2827,1.00,0.0031,0.0025
a[86],1.16,0.49,0.57,2,2368,2047,1.00,0.0095,0.012
a[87],1.34,0.51,0.69,2.2,3727,3302,1.00,0.0083,0.009
a[88],1.56,0.72,0.74,2.9,4512,3342,1.00,0.012,0.016
a[89],1.3,0.57,0.63,2.3,2627,2809,1.00,0.011,0.014
a[90],1.19,0.5,0.58,2.1,2676,2246,1.00,0.0092,0.01
a[91],1.57,0.73,0.73,2.9,4247,3080,1.00,0.012,0.016
a[92],1.23,0.54,0.61,2.2,2884,2849,1.00,0.0094,0.015
a[93],1.17,0.48,0.59,2.1,2477,2790,1.00,0.0093,0.011
b[0],2.66,1.04,1.2,4.4,3321,2849,1.00,0.019,0.014
b[1],-3.87,0.5,-4.7,-3.1,1323,1932,1.00,0.014,0.01
b[2],-3.88,0.51,-4.7,-3.1,1217,1913,1.00,0.015,0.011
b[3],-3.87,0.5,-4.7,-3.1,1148,1801,1.00,0.015,0.011
b[4],-2.5,0.5,-3.3,-1.7,1227,1842,1.00,0.014,0.011
b[5],-3.87,0.5,-4.7,-3.1,1395,1935,1.00,0.013,0.01
b[6],-3.88,0.5,-4.7,-3.1,1069,1880,1.00,0.015,0.012
b[7],-3.66,0.5,-4.5,-2.9,1229,1743,1.00,0.014,0.011
b[8],2.98,1.14,1.4,5,3200,2308,1.00,0.021,0.016
b[9],-2.9,0.5,-3.7,-2.1,1283,2033,1.00,0.014,0.011
b[10],-0.55,1.01,-2,1.1,2900,2140,1.00,0.02,0.018
b[11],-3.74,0.67,-4.8,-2.7,2074,2494,1.00,0.015,0.011
b[12],1.67,0.9,0.52,3.3,2160,1861,1.00,0.021,0.021
b[13],2.72,1.09,1.2,4.6,3027,2668,1.00,0.021,0.015
b[14],-0.51,0.55,-1.4,0.4,1569,2058,1.00,0.014,0.012
b[15],1.74,0.88,0.55,3.3,2184,2310,1.00,0.02,0.015
b[16],2.98,1.16,1.4,5,3461,2620,1.00,0.021,0.017
b[17],3,1.17,1.4,5,3146,2322,1.00,0.022,0.017
b[18],2.96,1.12,1.4,4.9,3192,2533,1.00,0.021,0.016
