sampler,budget,repeat,global_mse,global_spearman,global_kendall,mean_per_env_mse,mean_per_env_spearman,coverage__retro,coverage__spectra,coverage__wetlab
random,5,76,0.02724154217594689,0.9457107322567676,0.8702543635872545,0.039393402777777774,0.9159304749394426,2,3,0
random,5,77,0.0255252301192093,0.9520546923980934,0.8493327995650773,0.028070833333333337,0.8815215094223163,0,3,2
random,5,78,0.02185430813339369,0.9422080999150758,0.8397191227596315,0.057074614197530855,0.7047585865172565,2,1,2
random,5,79,0.009823102459634823,0.8561456211034547,0.67700320038633,0.06291720679012346,0.7865226163823856,2,2,1
random,5,80,0.040033031537649,0.9155156597651983,0.7909115788387002,0.0862968364197531,0.7638966759724627,1,2,2
random,5,81,0.05171246416176248,0.7873571651059467,0.6358308771056217,0.1368431327160494,0.18959374232080767,1,1,3
random,5,82,0.021780549268145464,0.8007366018809912,0.6253053994807223,0.03766720679012345,0.7156559986218342,2,2,1
random,5,83,0.007006081183039079,0.8651501883978578,0.7175781594491396,0.019978240740740744,0.8838516482385824,0,2,3
random,5,84,0.02993941451637243,0.99124495269876,0.9618600860701234,0.0418023148148148,0.9585080367345811,0,3,2
random,5,85,0.014010336502188013,0.7228482315851594,0.6141131705360953,0.023547685185185185,0.8184109630539405,0,2,3
random,5,86,0.01418338614757809,0.7908721524501697,0.6668470174522374,0.06262638888888888,0.7602680099224257,0,1,4
random,5,87,0.05587132940998942,0.7132867132867133,0.5757575757575757,0.11785239197530867,0.6322348587576541,1,2,2
random,5,88,0.03010395352346462,0.8712860822229289,0.781631749350903,0.1364480709876543,0.6763531069987434,1,1,3
random,5,89,0.011885513807152559,0.8898205903916986,0.7945521577046601,0.11459313271604939,0.7272631080753427,2,1,2
random,5,90,0.017522393239776668,0.9700553547016413,0.9066928292470475,0.03347893518518518,0.7767609741097384,3,1,1
random,5,91,0.04321033650218802,0.9789533946223928,0.9231861823449954,0.11071053240740743,0.7369631651525713,1,4,0
random,5,92,0.024518137920627736,0.9349866335633118,0.8529438595319315,0.08725451388888891,0.6313924761950026,2,3,0
random,5,93,0.03489827976459937,0.9136157704280913,0.781631749350903,0.033556944444444445,0.8127444918454568,0,2,3
random,5,94,0.04808125848800362,0.8445704238245623,0.6776907694051248,0.056341666666666665,0.7740102856840348,0,1,4
random,5,95,0.005471329409989439,0.9579006334477178,0.8616404368553291,0.12746041666666666,0.43937093879566064,1,3,1
random,5,96,0.035539414516372415,0.8283821634956019,0.699205898780101,0.055404166666666664,0.7329642744396819,0,4,1
random,5,97,0.01851813792062774,0.9180679479659083,0.8081352297940447,0.02790416666666666,0.8902311360491524,0,3,2
random,5,98,0.02405288969367737,0.6996859578128174,0.583129266697433,0.022190162037037043,0.6204365731215226,2,0,3
random,5,99,0.0850883506865852,0.9470496802718942,0.8668137748205085,0.15541886574074076,0.6894017194829334,1,4,0
random,5,100,0.01021175494190432,0.9052687305110301,0.8000946913656627,0.09750362654320988,0.8691102047196546,1,1,3
random,5,101,0.03103444997736533,0.8501212381203476,0.6878359394287946,0.04289868827160493,0.6289563363357723,3,1,1
random,5,102,0.04675643579296814,0.7866267058126037,0.6565706694547585,0.17267646604938272,0.49834998122296376,1,2,2
random,5,103,0.005998988984457518,0.9138967094979737,0.7909115788387002,0.05070424382716048,0.6036189767105172,2,1,2
random,5,104,0.020455726573110004,0.9789533946223928,0.9231861823449954,0.10553757716049383,0.7866316885454087,1,2,2
random,5,105,0.06246991097027312,0.6938585642954614,0.5720775535473553,0.11354201388888889,0.2625661433185986,2,0,3
random,5,106,0.013494024445450434,0.8631632081616797,0.7385489458759964,0.03982777777777778,0.7896036363954015,0,4,1
random,5,107,0.028362109551833412,0.9333390787439302,0.8000946913656627,0.027843981481481463,0.9193892916486073,0,2,3
random,5,108,0.025340832956088733,0.9470496802718942,0.8352932739179446,0.0726579475308642,0.6256273605656644,2,2,1
random,5,109,0.03787132940998944,0.9347806145306725,0.8441622892989752,0.050688888888888894,0.7689608659823164,0,4,1
random,5,110,0.022390478346159644,0.9700553547016413,0.9066928292470475,0.10791103395061728,0.7194417783815007,1,3,1
random,5,111,0.00767558472913837,0.8189920512039535,0.6668470174522374,0.0922196759259259,0.5159917502375374,3,1,1
random,5,112,0.03653232231779086,0.8853959782913163,0.7191012094028307,0.03145972222222223,0.8699141369082513,0,3,2
random,5,113,0.011023102459634825,0.9807370556736849,0.9313248452425005,0.013527662037037034,0.7530054047867898,2,3,0
random,5,114,0.036370620190131285,0.9065608223938976,0.781631749350903,0.07949128086419753,0.7122447045916815,1,1,3
random,5,115,0.01521317338162065,0.9492133645984593,0.8397191227596315,0.03726064814814815,0.8510921907060242,0,2,3
random,5,116,0.05875076203410292,0.7060180864974626,0.5288298563329726,0.09581535493827159,0.6645036607820759,1,2,2
random,5,117,0.013678421608571,0.9556204403096967,0.8813830938882877,0.03448055555555555,0.9098704516341752,0,4,1
random,5,118,0.028245797495095818,0.8721554530812411,0.7175781594491396,0.06519498456790124,0.6900572058089414,2,2,1
random,5,119,0.033840123736230576,0.9024243712232556,0.7852322109186565,0.08283387345679012,0.48542871333959403,1,2,2
random,5,120,0.015618847140485897,0.9682522850541008,0.8983342757230725,0.09031226851851852,0.8880087417471558,1,3,1
random,5,121,0.006518137920627737,0.9136157704280913,0.781631749350903,0.07563942901234567,0.8320921863469044,2,2,1
random,5,122,0.0823138826014788,0.9403566658021552,0.8308675641104959,0.17099128086419754,0.7282384338057671,2,2,1
random,5,123,0.035755017353251844,0.8853959782913163,0.7503664793768668,0.08839251543209876,0.6596004863861311,1,1,3
random,5,124,0.031891187566017797,0.8471119499577373,0.7288792981454687,0.03775914351851852,0.64176751583911,2,3,0
random,5,125,0.01621459182133695,0.8771739862544231,0.753181916595446,0.12617646604938274,0.6427560835879333,2,1,2
random,5,126,0.014277003168854689,0.9103817221537509,0.7909115788387002,0.09681844135802468,0.7401477654790947,1,1,3
random,5,127,0.050608918062471704,0.9235287091052666,0.8172825052418669,0.09858387345679014,0.5676013922264205,1,2,2
random,5,128,0.02247274784970574,0.9344000379201426,0.8172825052418669,0.13210636574074075,0.7210807185244685,1,4,0
random,5,129,0.019230194658216387,0.913643367603167,0.7895420339517228,0.05185239197530864,0.8146006495010977,2,2,1
random,5,130,0.027703953523464626,0.8511396590310907,0.6870429186215167,0.10359621913580247,0.5403296926150424,1,3,1
